"customer_id","purchase_date","product_category","purchase_amount","payment_method","shipping_address","loyalty_member","return_policy_days","customer_rating","promo_code_used"
"1","11/25/2021","electronics","182.17","debit card","1st Floor","1","8","5",""
"2","8/15/2020","electronics","97.74","debit card","PO Box 14406","1","16","4","1"
"3","12/24/2021","beauty","498.83","credit card","PO Box 95438","1","14","2",""
"4","2/5/2021","clothing","463.51","cash","Room 1322","1","26","1","1"
"5","11/19/2020","home goods","489.16","mobile payment","17th Floor","","14","2","1"
"6","9/17/2019","beauty","50.82","mobile payment","20th Floor","","24","3",""
"7","3/30/2021","sports equipment","181.12","debit card","Suite 68","1","15","4",""
"8","8/18/2020","beauty","450.8","cash","2nd Floor","","9","3",""
"9","11/6/2019","clothing","194.91","cash","Suite 79","1","21","1","1"
"10","4/12/2019","electronics","162.01","mobile payment","PO Box 52811","","17","1","1"
"11","10/29/2021","clothing","32.02","credit card","Apt 1412","1","23","5",""
"12","8/19/2019","electronics","179.12","debit card","PO Box 81607","1","28","3","1"
"13","3/29/2020","clothing","53.0","debit card","Apt 1350","","11","1",""
"14","11/25/2021","sports equipment","222.15","credit card","Room 58","","30","4",""
"15","8/30/2020","electronics","28.56","debit card","PO Box 51021","","23","4",""
"16","4/23/2019","sports equipment","226.3","debit card","Suite 90","","19","2",""
"17","12/10/2019","clothing","214.94","debit card","2nd Floor","1","15","3","1"
"18","11/30/2021","clothing","363.31","cash","PO Box 83699","1","15","5","1"
"19","6/3/2019","home goods","238.19","debit card","Apt 1585","1","25","1","1"
"20","2/3/2019","beauty","303.84","debit card","PO Box 30366","1","28","4",""
"21","7/1/2019","clothing","273.18","cash","PO Box 66776","1","25","4","1"
"22","12/7/2020","electronics","31.6","debit card","Suite 14","1","23","3",""
"23","4/28/2021","sports equipment","34.19","credit card","Suite 83","","30","4","1"
"24","8/6/2020","electronics","110.72","debit card","6th Floor","1","10","5",""
"25","4/17/2020","beauty","457.94","credit card","PO Box 53154","","15","3",""
"26","8/5/2020","beauty","161.86","debit card","PO Box 30885","1","15","1",""
"27","6/3/2019","electronics","284.47","credit card","PO Box 89511","","14","4",""
"28","1/10/2020","home goods","498.43","debit card","PO Box 27176","1","19","5",""
"29","7/7/2019","home goods","441.53","cash","Apt 325","","20","5","1"
"30","2/17/2019","sports equipment","256.44","mobile payment","13th Floor","","14","4","1"
"31","8/20/2020","beauty","419.71","mobile payment","PO Box 17778","1","30","3",""
"32","7/1/2019","clothing","128.25","credit card","10th Floor","1","16","1","1"
"33","4/8/2021","electronics","365.52","mobile payment","Apt 681","1","23","3",""
"34","10/27/2020","home goods","375.88","credit card","Room 386","","10","2","1"
"35","4/2/2019","clothing","113.15","cash","Suite 43","","17","1","1"
"36","6/5/2020","beauty","425.91","mobile payment","PO Box 38107","","13","1",""
"37","5/11/2020","home goods","381.28","mobile payment","Room 1116","1","13","5",""
"38","7/14/2021","electronics","363.16","debit card","Apt 1289","","21","4","1"
"39","3/24/2019","beauty","416.67","credit card","Room 1344","","29","5",""
"40","12/22/2020","sports equipment","458.84","cash","PO Box 56334","1","22","4","1"
"41","4/10/2019","electronics","227.54","debit card","PO Box 4850","1","23","5",""
"42","4/4/2020","electronics","332.89","credit card","PO Box 85629","1","14","5","1"
"43","4/14/2019","beauty","43.51","debit card","Suite 60","1","26","4","1"
"44","7/20/2020","home goods","34.05","credit card","Apt 1677","1","18","2",""
"45","12/4/2020","electronics","377.84","cash","Room 1022","1","30","3","1"
"46","2/9/2020","sports equipment","479.37","debit card","PO Box 10520","1","20","2",""
"47","8/23/2020","electronics","380.27","mobile payment","Room 1280","","18","5",""
"48","1/15/2019","sports equipment","221.57","mobile payment","Apt 948","1","12","5",""
"49","12/10/2019","sports equipment","52.55","debit card","Apt 1887","1","18","1",""
"50","8/13/2020","electronics","46.34","credit card","Apt 517","","26","1","1"
"51","5/8/2020","sports equipment","39.81","mobile payment","PO Box 35937","","9","2","1"
"52","1/25/2021","home goods","463.17","credit card","3rd Floor","","14","5",""
"53","8/29/2019","clothing","101.0","cash","Suite 58","","23","1","1"
"54","10/27/2021","sports equipment","275.3","debit card","2nd Floor","","18","1","1"
"55","2/15/2020","home goods","242.87","cash","Apt 1293","","22","2",""
"56","4/24/2019","beauty","69.38","credit card","17th Floor","1","13","5",""
"57","12/11/2019","beauty","148.76","debit card","Apt 963","1","28","4","1"
"58","8/14/2021","home goods","447.07","cash","Suite 27","","25","2",""
"59","1/31/2019","clothing","199.97","debit card","PO Box 10212","","14","2","1"
"60","10/15/2021","home goods","337.97","credit card","Suite 61","1","27","2",""
"61","6/10/2020","electronics","116.66","cash","Apt 313","1","8","2","1"
"62","5/14/2021","sports equipment","320.23","debit card","Room 565","","25","4",""
"63","2/23/2021","beauty","452.26","mobile payment","PO Box 97414","","28","3",""
"64","1/30/2020","sports equipment","187.9","debit card","Suite 41","1","11","1",""
"65","7/11/2020","electronics","198.19","cash","Apt 1297","1","14","1",""
"66","2/9/2021","home goods","27.53","credit card","Apt 1888","","23","1",""
"67","5/23/2021","beauty","138.73","cash","PO Box 10643","1","26","5",""
"68","12/6/2019","sports equipment","420.39","debit card","Suite 31","","16","1","1"
"69","10/25/2020","home goods","199.09","debit card","PO Box 95617","1","27","2",""
"70","9/20/2020","electronics","452.43","mobile payment","Apt 326","1","15","1",""
"71","8/1/2020","beauty","57.3","cash","PO Box 68959","","20","1",""
"72","11/26/2020","clothing","174.45","mobile payment","Suite 14","","13","5","1"
"73","9/9/2020","home goods","108.22","debit card","7th Floor","","18","2","1"
"74","1/30/2020","electronics","234.61","cash","PO Box 427","1","22","5",""
"75","3/15/2020","electronics","437.5","mobile payment","Suite 5","1","22","4",""
